company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
HDFCBANK,201803,+,-,+,Mixed
HDFCBANK,201903,-,-,+,Growth Funded by Debt
HDFCBANK,202003,-,-,+,Growth Funded by Debt
HDFCBANK,202103,+,-,-,Reinvestor
HDFCBANK,202203,-,-,+,Growth Funded by Debt
HDFCBANK,202303,+,-,+,Mixed
HDFCBANK,202403,+,+,-,Liquidating Assets
HDFCLIFE,201503,+,-,-,Shareholder Returns
HDFCLIFE,201603,+,-,-,Shareholder Returns
HDFCLIFE,201703,+,-,-,Shareholder Returns
HDFCLIFE,201803,+,-,-,Shareholder Returns
HDFCLIFE,201903,+,-,-,Shareholder Returns
HDFCLIFE,202003,+,-,+,Mixed
HDFCLIFE,202103,+,-,+,Mixed
HDFCLIFE,202203,+,-,-,Shareholder Returns
HDFCLIFE,202303,+,-,+,Mixed
HDFCLIFE,202403,+,-,-,Shareholder Returns
HEROMOTOCO,201403,+,-,-,Shareholder Returns
HEROMOTOCO,201503,+,+,-,Liquidating Assets
HEROMOTOCO,201603,+,-,-,Shareholder Returns
HEROMOTOCO,201703,+,-,-,Shareholder Returns
HEROMOTOCO,201803,+,-,-,Shareholder Returns
HEROMOTOCO,201903,+,+,-,Liquidating Assets
HEROMOTOCO,202003,+,-,-,Shareholder Returns
HEROMOTOCO,202103,+,-,-,Shareholder Returns
HEROMOTOCO,202203,+,-,-,Shareholder Returns
HEROMOTOCO,202303,+,-,-,Shareholder Returns
HEROMOTOCO,202403,+,-,-,Shareholder Returns
HINDALCO,201303,+,-,+,Mixed
HINDALCO,201403,+,-,+,Mixed
HINDALCO,201503,+,-,-,Shareholder Returns
HINDALCO,201603,+,-,-,Shareholder Returns
HINDALCO,201703,+,-,-,Shareholder Returns
HINDALCO,201803,+,+,-,Liquidating Assets
HINDALCO,201903,+,-,-,Shareholder Returns
HINDALCO,202003,+,-,+,Mixed
HINDALCO,202103,+,-,-,Shareholder Returns
HINDALCO,202203,+,-,-,Shareholder Returns
HINDALCO,202303,+,-,-,Shareholder Returns
HINDALCO,202403,+,-,-,Shareholder Returns
HINDUNILVR,201303,+,+,-,Liquidating Assets
HINDUNILVR,201403,+,-,-,Shareholder Returns
HINDUNILVR,201503,+,+,-,Liquidating Assets
HINDUNILVR,201603,+,-,-,Shareholder Returns
HINDUNILVR,201703,+,-,-,Shareholder Returns
HINDUNILVR,201803,+,-,-,Shareholder Returns
HINDUNILVR,201903,+,-,-,Shareholder Returns
HINDUNILVR,202003,+,+,-,Liquidating Assets
HINDUNILVR,202103,+,-,-,Shareholder Returns
HINDUNILVR,202203,+,-,-,Shareholder Returns
HINDUNILVR,202303,+,-,-,Shareholder Returns
HINDUNILVR,202403,+,-,-,Shareholder Returns
ICICIBANK,201303,+,-,+,Mixed
ICICIBANK,201403,+,-,+,Mixed
ICICIBANK,201503,-,-,+,Growth Funded by Debt
ICICIBANK,201603,+,-,+,Mixed
ICICIBANK,201703,+,-,-,Shareholder Returns
ICICIBANK,201803,+,-,+,Mixed
ICICIBANK,201903,+,-,-,Shareholder Returns
ICICIBANK,202003,+,-,+,Mixed
ICICIBANK,202103,+,-,-,Shareholder Returns
ICICIBANK,202203,+,-,+,Mixed
ICICIBANK,202303,-,-,+,Growth Funded by Debt
ICICIBANK,202403,+,-,+,Mixed
ICICIGI,201303,+,-,+,Mixed
ICICIGI,201403,+,-,+,Mixed
ICICIGI,201503,-,+,-,Mixed
ICICIGI,201603,+,-,-,Shareholder Returns
ICICIGI,201703,+,-,+,Mixed
ICICIGI,201803,+,-,-,Shareholder Returns
ICICIGI,201903,+,-,-,Shareholder Returns
ICICIGI,202003,+,-,-,Shareholder Returns
ICICIGI,202103,+,-,-,Shareholder Returns
ICICIGI,202203,+,+,-,Liquidating Assets
ICICIGI,202303,+,-,-,Shareholder Returns
ICICIGI,202403,+,-,-,Shareholder Returns
ICICIPRULI,201303,-,+,-,Mixed
ICICIPRULI,201403,-,+,-,Mixed
ICICIPRULI,201503,+,-,-,Shareholder Returns
ICICIPRULI,201603,+,+,-,Liquidating Assets
ICICIPRULI,201703,+,-,-,Shareholder Returns
ICICIPRULI,201803,+,-,-,Shareholder Returns
ICICIPRULI,201903,+,-,-,Shareholder Returns
ICICIPRULI,202003,+,-,-,Shareholder Returns
ICICIPRULI,202103,+,-,+,Mixed
ICICIPRULI,202203,+,-,-,Shareholder Returns
ICICIPRULI,202303,+,-,-,Shareholder Returns
ICICIPRULI,202403,-,+,-,Mixed
INDIGO,201303,+,-,+,Mixed
INDIGO,201403,+,-,+,Mixed
INDIGO,201503,+,-,-,Reinvestor
INDIGO,201603,+,-,-,Reinvestor
INDIGO,201703,+,-,-,Reinvestor
INDIGO,201803,+,-,+,Mixed
INDIGO,201903,+,-,-,Reinvestor
INDIGO,202003,+,-,-,Reinvestor
INDIGO,202103,-,+,-,Mixed
INDIGO,202203,+,+,-,Liquidating Assets
INDIGO,202303,+,-,-,Reinvestor
INDIGO,202403,+,-,-,Reinvestor
INDUSINDBK,201303,-,-,+,Growth Funded by Debt
INDUSINDBK,201403,-,-,+,Growth Funded by Debt
INDUSINDBK,201503,-,-,+,Growth Funded by Debt
INDUSINDBK,201603,-,-,+,Growth Funded by Debt
INDUSINDBK,201703,+,-,-,Shareholder Returns
INDUSINDBK,201803,-,-,+,Growth Funded by Debt
INDUSINDBK,201903,-,-,+,Growth Funded by Debt
INDUSINDBK,202003,-,+,+,Distress Signal
INDUSINDBK,202103,+,-,-,Shareholder Returns
INDUSINDBK,202203,+,-,-,Shareholder Returns
INDUSINDBK,202303,-,-,+,Growth Funded by Debt
INDUSINDBK,202403,-,-,-,Pre-Revenue
INFY,201303,+,-,-,Shareholder Returns
INFY,201403,+,-,-,Shareholder Returns
INFY,201503,+,+,-,Liquidating Assets
INFY,201603,+,-,-,Shareholder Returns
INFY,201703,+,-,-,Shareholder Returns
INFY,201803,+,+,-,Liquidating Assets
INFY,201903,+,-,-,Shareholder Returns
INFY,202003,+,-,-,Shareholder Returns
INFY,202103,+,-,-,Shareholder Returns
INFY,202203,+,-,-,Shareholder Returns
INFY,202303,+,-,-,Shareholder Returns
INFY,202403,+,-,-,Shareholder Returns
IOC,201303,+,-,+,Mixed
IOC,201403,+,-,-,Reinvestor
IOC,201503,+,-,-,Reinvestor
IOC,201603,+,-,-,Reinvestor
IOC,201703,+,-,-,Reinvestor
IOC,201803,+,-,-,Reinvestor
IOC,201903,+,-,+,Mixed
IOC,202003,+,-,+,Mixed
